ILMID	Multimap	SNPatCpGorExtensionBase	Liftover_fail
cg00000905	NA	1	NA
cg00001510	1	NA	NA
cg00003969	1	NA	NA
cg00004073	NA	1	NA
cg00004121	1	NA	NA
cg00004192	1	NA	NA
cg00004209	1	NA	NA
cg00004700	NA	1	NA
cg00005390	1	NA	NA
cg00007064	NA	1	NA
cg00007215	1	NA	NA
cg00007810	1	1	NA
cg00007987	NA	1	NA
cg00008345	NA	1	NA
cg00009038	1	NA	NA
cg00009523	NA	1	NA
cg00009796	1	NA	NA
cg00010242	1	1	NA
cg00011856	NA	1	NA
cg00011994	1	NA	NA
cg00012123	NA	1	NA
cg00012317	1	NA	NA
cg00012343	1	NA	NA
cg00013540	1	NA	NA
cg00013543	1	NA	NA
cg00013733	NA	1	NA
cg00014168	1	NA	NA
cg00014561	1	NA	NA
cg00014748	1	NA	NA
cg00015286	1	NA	NA
cg00015319	1	NA	NA
cg00015603	NA	1	NA
cg00016802	1	NA	NA
cg00017157	NA	1	NA
cg00017221	1	NA	NA
cg00017842	NA	1	NA
cg00019085	NA	1	NA
cg00019196	NA	1	NA
cg00019880	NA	1	NA
cg00021044	1	NA	NA
cg00022262	1	NA	NA
cg00022308	NA	1	NA
cg00023507	NA	1	NA
cg00023750	1	NA	NA
cg00024192	NA	1	NA
cg00027155	NA	1	NA
cg00028232	1	NA	NA
cg00028429	NA	1	NA
cg00029052	1	NA	NA
cg00030117	NA	1	NA
cg00030125	1	NA	NA
cg00030176	1	NA	NA
cg00031556	1	NA	NA
cg00031779	NA	1	NA
cg00032192	NA	1	NA
cg00032701	NA	1	NA
cg00033213	NA	1	NA
cg00033584	1	NA	NA
cg00033666	NA	1	NA
cg00034468	1	NA	NA
cg00034556	1	NA	NA
cg00035398	1	NA	NA
cg00035449	NA	1	NA
cg00035452	1	NA	NA
cg00036614	1	NA	NA
cg00037388	NA	1	NA
cg00038131	1	NA	NA
cg00039936	1	1	NA
cg00040027	NA	1	NA
cg00040103	NA	1	NA
cg00040427	NA	1	NA
cg00040646	NA	1	NA
cg00040749	NA	1	NA
cg00041636	NA	1	NA
cg00042059	NA	1	NA
cg00042156	1	NA	NA
cg00044501	1	NA	NA
cg00045070	NA	1	NA
cg00045532	1	NA	NA
cg00045748	1	NA	NA
cg00047162	1	NA	NA
cg00047553	1	1	NA
cg00049947	1	NA	NA
cg00050555	1	NA	NA
cg00051154	NA	1	NA
cg00052684	NA	1	NA
cg00052903	1	NA	NA
cg00053647	1	NA	NA
cg00053728	NA	1	NA
cg00054352	1	NA	NA
cg00054409	NA	1	NA
cg00054639	NA	1	NA
cg00055233	1	NA	NA
cg00055434	1	NA	NA
cg00055726	1	NA	NA
cg00055981	NA	1	NA
cg00056268	1	NA	NA
cg00057240	NA	1	NA
cg00057434	1	NA	NA
cg00057517	1	NA	NA
cg00058449	1	NA	NA
cg00059374	1	NA	NA
cg00059782	1	NA	NA
cg00060715	1	NA	NA
cg00060975	NA	1	NA
cg00061679	1	NA	NA
cg00061764	1	NA	NA
cg00061811	1	NA	NA
cg00062070	NA	1	NA
cg00062072	NA	1	NA
cg00062367	NA	1	NA
cg00062592	1	NA	NA
cg00062736	NA	1	NA
cg00063040	1	NA	NA
cg00064336	1	NA	NA
cg00064531	1	NA	NA
cg00065226	1	NA	NA
cg00065998	1	NA	NA
cg00066668	1	NA	NA
cg00067141	NA	1	NA
cg00067538	NA	1	NA
cg00067574	1	NA	NA
cg00068684	1	NA	NA
cg00069771	NA	1	NA
cg00070542	1	NA	NA
cg00070870	1	NA	NA
cg00071045	1	NA	NA
cg00071575	1	NA	NA
cg00072839	1	NA	NA
cg00074471	1	NA	NA
cg00074638	1	NA	NA
cg00074771	NA	1	NA
cg00075620	NA	1	NA
cg00075844	1	NA	NA
cg00076774	NA	1	NA
cg00077299	1	NA	NA
cg00077312	NA	1	NA
cg00077567	1	NA	NA
cg00077738	NA	1	NA
cg00079169	NA	1	NA
cg00079388	NA	1	NA
cg00080418	1	NA	NA
cg00081141	1	NA	NA
cg00081465	1	NA	NA
cg00081852	1	NA	NA
cg00082729	NA	1	NA
cg00082981	1	NA	NA
cg00084271	NA	1	NA
cg00084958	1	NA	NA
cg00085889	1	NA	NA
cg00086113	NA	1	NA
cg00086426	1	NA	NA
cg00086429	NA	1	NA
cg00087073	NA	1	NA
cg00087182	1	NA	NA
cg00087301	1	NA	NA
cg00087746	1	NA	NA
cg00088251	1	NA	NA
cg00088507	NA	1	NA
cg00089430	1	NA	NA
cg00090431	NA	1	NA
cg00090612	1	NA	NA
cg00091063	1	NA	NA
cg00091178	1	NA	NA
cg00091596	NA	1	NA
cg00093099	NA	1	NA
cg00093354	1	NA	NA
cg00093794	1	NA	NA
cg00094044	1	NA	NA
cg00094269	1	NA	NA
cg00094319	1	NA	NA
cg00095105	1	NA	NA
cg00095431	NA	1	NA
cg00095677	NA	1	NA
cg00096747	1	NA	NA
cg00097020	1	NA	NA
cg00097415	1	NA	NA
cg00097645	1	NA	NA
cg00097790	1	NA	NA
cg00098304	NA	1	NA
cg00098451	1	NA	NA
cg00099129	1	NA	NA
cg00100121	1	NA	NA
cg00101555	NA	1	NA
cg00102266	1	NA	NA
cg00103299	NA	1	NA
cg00103771	1	NA	NA
cg00104707	NA	1	NA
cg00105368	1	NA	NA
cg00106254	1	NA	NA
cg00106621	NA	1	NA
cg00106920	1	NA	NA
cg00107890	NA	1	NA
cg00108524	1	NA	NA
cg00109148	1	NA	NA
cg00110041	NA	1	NA
cg00110695	1	NA	NA
cg00111466	1	NA	NA
cg00111665	NA	1	NA
cg00111677	1	NA	NA
cg00111723	1	NA	NA
cg00112558	1	NA	NA
cg00112929	1	NA	NA
cg00114503	1	NA	NA
cg00114618	1	NA	NA
cg00115102	1	NA	NA
cg00115714	1	NA	NA
cg00115984	NA	1	NA
cg00116265	1	NA	NA
cg00116558	1	NA	NA
cg00116699	NA	1	NA
cg00117012	1	1	NA
cg00117869	NA	1	NA
cg00117908	1	NA	NA
cg00117965	1	NA	NA
cg00118342	NA	1	NA
cg00119034	1	NA	NA
cg00120274	1	NA	NA
cg00120505	NA	1	NA
cg00121030	1	NA	NA
cg00121148	1	NA	NA
cg00121366	1	NA	NA
cg00122779	NA	1	NA
cg00123017	NA	1	NA
cg00123057	1	NA	NA
cg00123214	NA	1	NA
cg00124902	NA	1	NA
cg00125002	1	NA	NA
cg00125148	1	NA	NA
cg00125858	1	NA	NA
cg00125893	NA	1	NA
cg00128171	1	NA	NA
cg00128430	1	NA	NA
cg00129524	1	NA	NA
cg00130778	1	NA	NA
cg00131121	1	NA	NA
cg00133136	1	NA	NA
cg00133223	1	NA	NA
cg00134041	1	NA	NA
cg00134340	1	NA	NA
cg00134695	1	NA	NA
cg00135121	1	NA	NA
cg00135841	1	NA	NA
cg00135874	NA	1	NA
cg00137611	1	NA	NA
cg00137846	1	NA	NA
cg00140085	1	NA	NA
cg00140494	1	NA	NA
cg00140842	NA	1	NA
cg00142933	NA	1	NA
cg00143729	NA	1	NA
cg00143986	NA	1	NA
cg00144832	1	NA	NA
cg00145055	NA	1	NA
cg00145103	1	NA	NA
cg00145419	1	NA	NA
cg00145596	1	NA	NA
cg00145961	NA	1	NA
cg00146240	NA	1	NA
cg00147332	1	NA	NA
cg00147462	NA	1	NA
cg00147627	NA	1	NA
cg00147751	1	NA	NA
cg00148558	1	1	NA
cg00148867	1	NA	NA
cg00149061	1	1	NA
cg00149692	NA	1	NA
cg00149708	NA	1	NA
cg00149805	1	NA	NA
cg00150012	1	NA	NA
cg00152644	1	NA	NA
cg00152757	1	NA	NA
cg00153041	1	NA	NA
cg00153622	1	NA	NA
cg00153942	1	NA	NA
cg00154119	NA	1	NA
cg00154920	1	NA	NA
cg00154950	1	NA	NA
cg00155844	1	NA	NA
cg00156057	1	NA	NA
cg00156684	1	NA	NA
cg00157199	1	NA	NA
cg00157228	NA	1	NA
cg00157477	1	NA	NA
cg00158081	NA	1	NA
cg00158227	1	NA	NA
cg00158401	1	NA	NA
cg00159780	1	NA	NA
cg00159873	1	NA	NA
cg00159953	NA	1	NA
cg00160018	1	NA	NA
cg00160462	1	NA	NA
cg00160777	1	NA	NA
cg00160853	1	NA	NA
cg00160962	1	NA	NA
cg00161367	1	NA	NA
cg00161450	1	NA	NA
cg00161515	1	NA	NA
cg00162191	1	NA	NA
cg00162943	1	1	NA
cg00162952	1	NA	NA
cg00163546	NA	1	NA
cg00163668	1	NA	NA
cg00164217	1	NA	NA
cg00164462	1	NA	NA
cg00164678	NA	1	NA
cg00166653	NA	1	NA
cg00166770	1	NA	NA
cg00166868	NA	1	NA
cg00167158	NA	1	NA
cg00167248	NA	1	NA
cg00167275	1	NA	NA
cg00167783	1	NA	NA
cg00167913	NA	1	NA
cg00168191	NA	1	NA
cg00170799	1	NA	NA
cg00171192	1	NA	NA
cg00171214	1	NA	NA
cg00171578	1	NA	NA
cg00172085	NA	1	NA
cg00172967	NA	1	NA
cg00173170	1	NA	NA
cg00173768	1	NA	NA
cg00173776	NA	1	NA
cg00174201	1	NA	NA
cg00174967	1	NA	NA
cg00174992	NA	1	NA
cg00175709	1	NA	NA
cg00176896	1	NA	NA
cg00177631	1	NA	NA
cg00178224	1	NA	NA
cg00178785	1	1	NA
cg00178928	NA	1	NA
cg00181676	1	NA	NA
cg00182593	NA	1	NA
cg00183340	1	NA	NA
cg00183546	1	NA	NA
cg00185103	NA	1	NA
cg00185189	1	NA	NA
cg00187768	1	NA	NA
cg00188089	NA	1	NA
cg00189276	NA	1	NA
cg00191858	1	NA	NA
cg00191957	NA	1	NA
cg00192046	NA	1	NA
cg00194109	1	NA	NA
cg00194341	1	NA	NA
cg00195144	1	NA	NA
cg00197191	1	NA	NA
cg00197266	NA	1	NA
cg00198436	1	NA	NA
cg00198680	1	NA	NA
cg00198759	1	NA	NA
cg00199759	1	NA	NA
cg00201534	1	NA	NA
cg00204355	1	NA	NA
cg00204512	1	NA	NA
cg00205198	1	NA	NA
cg00205340	1	NA	NA
cg00205436	1	NA	NA
cg00205813	NA	1	NA
cg00206058	NA	1	NA
cg00206271	1	NA	NA
cg00207855	1	NA	NA
cg00207939	NA	1	NA
cg00209563	1	NA	NA
cg00209893	NA	1	NA
cg00210186	NA	1	NA
cg00210839	1	NA	NA
cg00211623	1	NA	NA
cg00211855	1	NA	NA
cg00212264	1	NA	NA
cg00212786	NA	1	NA
cg00213044	1	NA	NA
cg00213281	NA	1	NA
cg00213301	NA	1	NA
cg00214873	1	NA	NA
cg00214970	NA	1	NA
cg00215066	NA	1	NA
cg00215587	NA	1	NA
cg00215922	1	1	NA
cg00218215	1	NA	NA
cg00218404	NA	1	NA
cg00218628	1	NA	NA
cg00218707	1	NA	NA
cg00221650	NA	1	NA
cg00221830	1	NA	NA
cg00223899	1	NA	NA
cg00223952	1	NA	NA
cg00224234	1	NA	NA
cg00224417	1	NA	NA
cg00225618	NA	1	NA
cg00226085	1	NA	NA
cg00226340	NA	1	NA
cg00226956	1	NA	NA
cg00226961	1	NA	NA
cg00226964	1	NA	NA
cg00228142	NA	1	NA
cg00228355	1	NA	NA
cg00229755	1	NA	NA
cg00230586	1	NA	NA
cg00230869	NA	1	NA
cg00231099	1	NA	NA
cg00231300	1	NA	NA
cg00231519	NA	1	NA
cg00232675	1	NA	NA
cg00232805	1	NA	NA
cg00234467	1	NA	NA
cg00234855	1	NA	NA
cg00236150	NA	1	NA
cg00237026	1	NA	NA
cg00238038	1	NA	NA
cg00239529	1	NA	NA
cg00241482	1	NA	NA
cg00242597	NA	1	NA
cg00243321	1	NA	NA
cg00243527	NA	1	NA
cg00244034	1	NA	NA
cg00244894	NA	1	NA
cg00244920	1	1	NA
cg00245000	1	NA	NA
cg00245032	NA	1	NA
cg00245492	1	NA	NA
cg00246693	1	NA	NA
cg00247094	NA	1	NA
cg00247803	1	NA	NA
cg00248242	NA	1	NA
cg00248449	1	NA	NA
cg00248861	NA	1	NA
cg00250422	NA	1	NA
cg00252057	1	NA	NA
cg00252230	1	NA	NA
cg00252529	1	NA	NA
cg00252533	1	NA	NA
cg00253854	1	NA	NA
cg00254095	NA	1	NA
cg00254524	1	NA	NA
cg00257789	NA	1	NA
cg00258136	1	NA	NA
cg00259043	1	NA	NA
cg00259584	1	NA	NA
cg00259755	1	NA	NA
cg00259849	NA	1	NA
cg00259871	1	NA	NA
cg00260818	NA	1	NA
cg00261099	1	NA	NA
cg00261875	NA	1	NA
cg00262681	NA	1	NA
cg00263314	1	NA	NA
cg00263650	1	NA	NA
cg00263856	1	NA	NA
cg00264298	1	NA	NA
cg00264578	NA	1	NA
cg00264634	1	NA	NA
cg00266579	1	NA	NA
cg00267512	1	NA	NA
cg00268547	NA	1	NA
cg00270799	NA	1	NA
cg00271633	NA	1	NA
cg00271807	1	1	NA
cg00272795	NA	1	NA
cg00272992	1	NA	NA
cg00273737	NA	1	NA
cg00274640	1	NA	NA
cg00275090	1	NA	NA
cg00275234	1	NA	NA
cg00275362	NA	1	NA
cg00276214	1	NA	NA
cg00277098	1	NA	NA
cg00277927	1	NA	NA
cg00278107	1	NA	NA
cg00279557	1	NA	NA
cg00280814	1	NA	NA
cg00282216	1	NA	NA
cg00282267	1	NA	NA
cg00282370	1	NA	NA
cg00283030	1	NA	NA
cg00283247	NA	1	NA
cg00283771	1	NA	NA
cg00286102	NA	1	NA
cg00286104	NA	1	NA
cg00286160	1	NA	NA
cg00287122	NA	1	NA
cg00288376	NA	1	NA
cg00288463	NA	1	NA
cg00288652	1	NA	NA
cg00290039	NA	1	NA
cg00290627	1	NA	NA
cg00292896	1	NA	NA
cg00293678	1	NA	NA
cg00294152	1	NA	NA
cg00294558	1	NA	NA
cg00294814	1	NA	NA
cg00294848	1	NA	NA
cg00294852	1	NA	NA
cg00295060	1	NA	NA
cg00295418	NA	1	NA
cg00297362	NA	1	NA
cg00297993	NA	1	NA
cg00298475	NA	1	NA
cg00299893	NA	1	NA
cg00300672	NA	1	NA
cg00301256	1	NA	NA
cg00301372	NA	1	NA
cg00303341	1	NA	NA
cg00303811	NA	1	NA
cg00305320	1	NA	NA
cg00305639	1	NA	NA
cg00305878	1	NA	NA
cg00307501	1	NA	NA
cg00308434	1	NA	NA
cg00308458	1	NA	NA
cg00308697	1	1	NA
cg00311170	NA	1	NA
cg00311772	NA	1	NA
cg00311921	1	NA	NA
cg00311963	1	NA	NA
cg00313795	1	NA	NA
cg00314015	1	NA	NA
cg00314178	1	NA	NA
cg00314276	1	NA	NA
cg00314627	1	NA	NA
cg00314660	NA	1	NA
cg00316015	1	NA	NA
cg00316478	NA	1	NA
cg00318111	1	NA	NA
cg00318897	1	NA	NA
cg00319686	NA	1	NA
cg00320345	1	NA	NA
cg00320354	NA	1	NA
cg00321824	1	NA	NA
cg00321838	1	NA	NA
cg00322062	NA	1	NA
cg00323861	1	NA	NA
cg00324257	1	NA	NA
cg00324394	1	NA	NA
cg00324979	NA	1	NA
cg00325910	1	NA	NA
cg00325917	NA	1	NA
cg00326208	1	NA	NA
cg00327263	NA	1	NA
cg00329180	1	NA	NA
cg00329656	1	NA	NA
cg00330318	1	NA	NA
cg00330490	1	NA	NA
cg00330857	1	NA	NA
cg00332021	1	NA	NA
cg00332305	NA	1	NA
cg00333364	1	NA	NA
cg00334370	NA	1	NA
cg00335297	1	NA	NA
cg00336150	NA	1	NA
cg00336555	1	NA	NA
cg00337070	1	1	NA
cg00337553	1	NA	NA
cg00338377	1	NA	NA
cg00338758	1	NA	NA
cg00339740	NA	1	NA
cg00339778	1	NA	NA
cg00340584	1	NA	NA
cg00340744	1	NA	NA
cg00340856	1	1	NA
cg00340919	NA	1	NA
cg00341415	1	NA	NA
cg00341742	NA	1	NA
cg00341885	NA	1	NA
cg00342590	1	NA	NA
cg00342613	1	NA	NA
cg00344482	NA	1	NA
cg00344709	1	NA	NA
cg00345083	NA	1	NA
cg00345366	1	NA	NA
cg00345916	1	NA	NA
cg00346180	1	NA	NA
cg00346320	1	NA	NA
cg00346673	1	NA	NA
cg00347673	NA	1	NA
cg00348031	NA	1	NA
cg00348692	1	NA	NA
cg00349071	1	NA	NA
cg00349495	1	NA	NA
cg00349700	1	NA	NA
cg00350362	1	NA	NA
cg00350371	NA	1	NA
cg00350405	NA	1	NA
cg00350503	NA	1	NA
cg00350607	1	NA	NA
cg00351097	1	NA	NA
cg00351202	1	NA	NA
cg00351283	1	NA	NA
cg00351472	NA	1	NA
cg00352468	NA	1	NA
cg00353337	1	NA	NA
cg00353916	1	NA	NA
cg00354124	1	NA	NA
cg00354484	NA	1	NA
cg00355360	1	NA	NA
cg00356769	1	NA	NA
cg00356815	NA	1	NA
cg00356875	NA	1	NA
cg00356888	1	NA	NA
cg00357543	1	NA	NA
cg00358442	1	NA	NA
cg00358609	NA	1	NA
cg00359110	1	NA	NA
cg00359181	NA	1	NA
cg00359421	1	NA	NA
cg00360757	1	NA	NA
cg00362401	1	NA	NA
cg00363815	1	NA	NA
cg00364325	NA	1	NA
cg00364644	1	NA	NA
cg00365004	1	NA	NA
cg00365481	NA	1	NA
cg00365692	NA	1	NA
cg00366190	NA	1	NA
cg00366531	1	NA	NA
cg00366594	1	NA	NA
cg00366603	NA	1	NA
cg00367497	1	NA	NA
cg00367649	1	NA	NA
cg00368844	1	NA	NA
cg00369640	NA	1	NA
cg00370173	NA	1	NA
cg00370296	1	NA	NA
cg00370589	NA	1	NA
cg00370815	1	NA	NA
cg00371061	NA	1	NA
cg00371570	1	NA	NA
cg00371627	NA	1	NA
cg00371950	1	NA	NA
cg00374016	1	NA	NA
cg00375999	1	NA	NA
cg00376910	NA	1	NA
cg00377727	NA	1	NA
cg00378142	1	NA	NA
cg00379272	1	NA	NA
